Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,cf6f30a3-f708-5b0a-95a8-16287502b26b,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 31,ocd-division/country:us/state:de/sldl:31,State Representative,DE State House,5d5489a1-3465-4f8a-9bb8-dadfa176024d,DE State Representative,District 31,1,1,Jason Stewart,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,f2b9048e-0f2b-52cb-af2c-e79771397dd5,DE,administrativeArea2,governmentOfficer,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County,ocd-division/country:us/state:de/county:sussex,County Recorder,,87010553-2661-4e56-8894-b93b8fdad8fb,Sussex County Recorder of Deeds,,1,1,Alexandra Reed Baker,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,3629bac8-151e-515d-a988-280842c8f597,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 20,ocd-division/country:us/state:de/sldl:20,State Representative,DE State House,93b95b7d-d126-4c6b-9677-2a5b4f6e2198,DE State Representative,District 20,1,1,Dallas A. Wingate,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,96978682-7db6-5634-9f26-c1c64482fdc4,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 32,ocd-division/country:us/state:de/sldl:32,State Representative,DE State House,a143d933-2a31-44d9-a204-972ce749d88a,DE State Representative,District 32,1,1,Kerri Evelyn Harris,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,3c062d5e-484d-5280-af9e-79730e71419d,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 21,ocd-division/country:us/state:de/sldl:21,State Representative,DE State House,130d069b-6cfd-40dd-b4d3-83d80c44c9e6,DE State Representative,District 21,1,1,Michael Ramone,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,Michael_Ramone,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,3086b438-510b-5ec7-b95b-67d5055a55d5,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 41,ocd-division/country:us/state:de/sldl:41,State Representative,DE State House,16c1e6c7-2639-439b-9e73-db4f6c038fd4,DE State Representative,District 41,1,1,Joseph D. DiPasquale,Non-Partisan Delaware Party,Unaffiliated,https://www.facebook.com/NonPartisanDE/,,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,a4b6b7ea-97d3-5679-a2ab-f70aa3a33479,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 32,ocd-division/country:us/state:de/sldl:32,State Representative,DE State House,a143d933-2a31-44d9-a204-972ce749d88a,DE State Representative,District 32,1,1,Cheryl Precourt,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,c7969b5c-de94-5f96-a555-f36dd77be55e,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 5,ocd-division/country:us/state:de/sldl:5,State Representative,DE State House,f0e08bca-ffed-4fff-8b94-971f28fdd843,DE State Representative,District 5,1,1,Mark Parks,Non-Partisan Delaware Party,Unaffiliated,https://www.facebook.com/NonPartisanDE/,,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,3436f114-35c2-5a73-849f-2937879c7b36,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 5,ocd-division/country:us/state:de/sldl:5,State Representative,DE State House,f0e08bca-ffed-4fff-8b94-971f28fdd843,DE State Representative,District 5,1,1,Kendra Johnson,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Kendra_Johnson,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,152e5478-acb6-5436-80eb-142ac2e33e08,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 21,ocd-division/country:us/state:de/sldl:21,State Representative,DE State House,130d069b-6cfd-40dd-b4d3-83d80c44c9e6,DE State Representative,District 21,1,1,Frank Burns,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,675e582d-1414-5405-ad3a-ba6580cdf361,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 33,ocd-division/country:us/state:de/sldl:33,State Representative,DE State House,17d36890-b061-4148-9110-45e397b7aae9,DE State Representative,District 33,1,1,"Charles S. Postles, Jr.",Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,Charles_Postles_Jr.,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
