Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,24d3f7b7-2dfb-5727-b5ee-ad00af237c6b,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Plymouth district,ocd-division/country:us/state:ma/sldl:9th_plymouth,State Representative,MA State House,1c5ccb05-4efb-46ba-bc6d-ec88c5210dc0,MA State Representative,District 9th Plymouth,1,1,Gerard J. Cassidy,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Gerard_Cassidy,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,c4dc1a45-8c67-5af3-be4c-642e08f57c33,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Suffolk district,ocd-division/country:us/state:ma/sldl:9th_suffolk,State Representative,MA State House,f2fac200-cd49-40fb-ac91-0685a6b49b61,MA State Representative,District 9th Suffolk,1,1,Jon Santiago,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Jon_Santiago,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,f37d4275-2551-52dd-b33e-9ea90aa9f0e9,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Middlesex district,ocd-division/country:us/state:ma/sldl:7th_middlesex,State Representative,MA State House,f145120b-b7df-4c4c-865d-c1a405d3055e,MA State Representative,District 7th Middlesex,1,1,Jack Patrick Lewis,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Jack_Patrick_Lewis,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,149e251d-6ad0-5bf5-8a33-072fde40d325,MA,administrativeArea1,legislatorUpperBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 1st Plymouth & Norfolk district,ocd-division/country:us/state:ma/sldu:1st_plymouth_and_norfolk_district,State Senator,MA State Senate,ab3f8907-19be-438b-9092-e544aace56f1,MA State Senator,District 1st Plymouth and Norfolk,1,1,Patrick Michael O'Connor,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,a2d2c7b3-e709-50e9-8b59-cba12a77a51c,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Norfolk district,ocd-division/country:us/state:ma/sldl:7th_norfolk,State Representative,MA State House,8d86a174-4df3-4c85-bdb6-6d2aeee76506,MA State Representative,District 7th Norfolk,1,1,"William J. Driscoll, Jr.",Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,William_Driscoll,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,9981977d-59e4-57c9-af90-f6580223337e,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Plymouth district,ocd-division/country:us/state:ma/sldl:7th_plymouth,State Representative,MA State House,717bb1c1-fd6d-42b5-a9df-b366b2247610,MA State Representative,District 7th Plymouth,1,1,Brandon J. Griffin,Workers Party,Workers Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,b520bff7-5984-5189-8957-83da1afa7168,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Worcester district,ocd-division/country:us/state:ma/sldl:9th_worcester,State Representative,MA State House,49057861-9490-4e6a-a2e3-d821893ba9af,MA State Representative,District 9th Worcester,1,1,"David K. Muradian, Jr.",Republican Party,Republican Party,,,TRUE,,,,,,,,,,,,,,,,David_Muradian,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,b90a29d5-276a-5841-9d5f-8ec50968f864,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,"Massachusetts Barnstable, Dukes & Nantucket district",ocd-division/country:us/state:ma/sldl:barnstable_dukes_and_nantucket,State Representative,MA State House,d6d2f51f-11c7-4e37-bcf5-de1e4dafd3d8,MA State Representative,"District Barnstable, Dukes and Nantucket",1,1,Dylan Fernandes,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Dylan_Fernandes,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,0ac8ed81-713e-5689-8dea-fb0f4604bef4,MA,administrativeArea1,legislatorUpperBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 1st Suffolk district,ocd-division/country:us/state:ma/sldu:1st_suffolk,State Senator,MA State Senate,1bc50a2a-6bf3-44b1-8c00-7920d720d913,MA State Senator,District 1st Suffolk,1,1,Nicholas P. Collins,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Nick_Collins_(politician),,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,7e14a28d-63ac-556a-a5f8-e31751223b47,MA,administrativeArea1,legislatorUpperBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 1st Bristol & Plymouth district,ocd-division/country:us/state:ma/sldu:1st_bristol_and_plymouth,State Senator,MA State Senate,ccc65c9e-9aea-4e6e-9bff-a772b0e2a591,MA State Senator,District 1st Bristol and Plymouth,1,1,Russell T. Protentis,Republican Party,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
